CRN_final,cohort,grant_date_real,grant_year,Award Offered (£),Sector,Enterprise Size,enterprise_size_clean,Is Lead Participant,Innovate UK Product Type,prior_iuk_grant_received,total_iuk_grants,grant_rank,Address Region,is_crf,prior_source_grant,inc_date,company_age_at_grant,R/O Postal region,Legal form,SME indicator,Number of current directors,no_financial_data,pregrant_year,pregrant_current_assets,pregrant_current_liabilities,pregrant_total_assets,pregrant_long_term_liabilities,pregrant_net_tangible_assets,pregrant_fixed_assets,pregrant_turnover,pregrant_profit_loss,pregrant_creditors,pregrant_total_liabilities,pregrant_net_assets,pregrant_current_ratio,pregrant_leverage_ratio,pregrant_working_capital,pregrant_profit_margin,pregrant_roa,corporate_psc_flag,sic_code_dg,accounts_overdue,last_accounts_date,n_grant_rows,total_award_allgrants,first_grant_year,last_grant_year,prior_iuk_grant_received_ever,survival_36m_final,follow_on_equity_3yr,further_grant_bh
SC371389,Cohort C,2016-01-01,2016,209134.0,Clean Growth & Infrastructure,Micro,Micro,Yes,Feasibility Studies,1.0,10.0,1.0,Scotland,False,,2010-01-19,5.9,Scotland,Private Limited,1.0,5,0,2015,47931,-22163.0,47931,,25768,,,,,-22163.0,25768.0,2.163,0.4623938578373078,25768.0,,,0,72190.0,0,2025-12-09,1,209134.0,2016,2016,1.0,1,,
02223413,Cohort C,2016-01-01,2016,86577.0,Clean Growth & Infrastructure,Small,Small,No,Collaborative R&D,1.0,2.0,1.0,Wales,False,,1988-02-22,27.9,East Midlands,Private Limited,1.0,0,0,2015,689402,-491652.0,1346160,-30833.0,574924,656758.0,,,,-522485.0,823675.0,1.402,0.3881299399774172,197750.0,,,0,20301.0,1,2021-03-30,1,86577.0,2016,2016,1.0,1,,
04089054,Cohort B,2016-02-01,2016,42000.0,AI & Data Economy,Micro,Micro,Yes,Procurement,0.0,1.0,1.0,London,False,,2000-12-10,15.1,London Outer,Private Limited,1.0,0,0,2015,6225,-91647.0,7657,,-83990,1432.0,,,,-91647.0,-83990.0,0.068,11.96904792999869,-85422.0,,,0,62012.0,1,2021-07-28,1,42000.0,2016,2016,0.0,1,,
07063626,Cohort B,2016-02-01,2016,350038.0,AI & Data Economy,Small,Small,Yes,Collaborative R&D,1.0,2.0,1.0,London,False,,2009-02-11,7.0,North West,Private Limited,1.0,0,0,2015,355898,-155004.0,362661,,207657,6763.0,,,,-155004.0,207657.0,2.296,0.4274074135349542,200894.0,,,0,62012.0,1,2024-02-27,1,350038.0,2016,2016,1.0,1,,
OC370009,Cohort C,2016-02-01,2016,8250.0,Clean Growth & Infrastructure,Medium,Medium,No,Collaborative R&D,0.0,1.0,1.0,London,False,,2011-11-21,4.2,London Inner,Limited Liability Partnership,1.0,6,0,2015,13791951,-4521185.0,15776167,-5000000.0,11254982,1984216.0,37890906.0,19063647.0,273736.0,-9521185.0,6254982.0,3.051,0.6035170013096337,9270766.0,0.503,1.208,0,,0,2026-05-20,1,8250.0,2016,2016,0.0,1,,
02498018,Cohort C,2016-02-01,2016,8566.0,Clean Growth & Infrastructure,Small,Small,No,Collaborative R&D,0.0,1.0,1.0,London,False,,1990-02-05,26.0,London Inner,Guarantee,1.0,18,0,2015,2936205,-1594223.0,2957067,,1362844,20862.0,2585566.0,194857.0,24772.0,-1594223.0,1362844.0,1.842,0.5391230567315519,1341982.0,0.075,0.066,0,94120.0,0,2025-09-11,1,8566.0,2016,2016,0.0,1,,
04641522,Cohort C,2016-02-01,2016,5135.0,Clean Growth & Infrastructure,Small,Small,No,Collaborative R&D,0.0,1.0,1.0,London,False,,2003-01-20,13.0,London Outer,Guarantee,1.0,4,0,2015,385472,-348291.0,385625,,37334,153.0,,,,-348291.0,37334.0,1.107,0.903185737439222,37181.0,,,0,74909.0,0,2025-11-15,1,5135.0,2016,2016,0.0,1,,
07081510,Cohort C,2016-02-01,2016,177142.0,Clean Growth & Infrastructure,Small,Small,Yes,Collaborative R&D,1.0,2.0,1.0,South East,False,,2009-11-19,6.2,Southern,Private Limited,1.0,4,0,2015,381801,-77415.0,384026,,306611,2225.0,,,,-77415.0,306611.0,4.932,0.2015879133183691,304386.0,,,0,74901.0,0,2026-03-16,1,177142.0,2016,2016,1.0,1,,
05195829,Cohort C,2016-02-01,2016,33854.0,Clean Growth & Infrastructure,Micro,Micro,No,Collaborative R&D,1.0,2.0,1.0,East of England,False,,2004-03-08,11.9,Eastern,Private Limited,1.0,1,0,2015,283,-12640.0,608,,-12032,325.0,,,,-12640.0,-12032.0,0.022,20.78947368421053,-12357.0,,,0,71111.0,0,2025-10-17,1,33854.0,2016,2016,1.0,1,,
05724766,Cohort C,2016-02-01,2016,55488.0,Clean Growth & Infrastructure,Micro,Micro,No,Collaborative R&D,1.0,2.0,1.0,London,False,,2006-02-28,9.9,Southern,Private Limited,1.0,1,0,2015,34564,-29039.0,34564,,5525,,,,,-29039.0,5525.0,1.19,0.8401516028237472,5525.0,,,0,42990.0,0,2025-12-29,1,55488.0,2016,2016,1.0,1,,
